POSITION;FUNCTION;PORT
IOB tile[0, 0] coord[17,  1] Input0;;
IOB tile[0, 0] coord[17,  1] Input1;;
IOB tile[0, 0] coord[17, 30] Output0;BRAM2_WCLKINV;
IOB tile[0, 0] coord[17, 30] Output1;BRAM2_RCLKINV;
IOB tile[0, 0] coord[17, 30] Input0;;
IOB tile[0, 0] coord[17, 30] Input1;;
IOB tile[0, 0] coord[17, 31] Output0;BRAM2_WDATA[7];
IOB tile[0, 0] coord[17, 31] Output1;BRAM2_WDATA[6];
IOB tile[0, 0] coord[17, 31] Input0;;
IOB tile[0, 0] coord[17, 31] Input1;;
IOB tile[0, 0] coord[18,  0] Output0;BRAM6_WDATA[3];
IOB tile[0, 0] coord[18,  0] Output1;BRAM6_WDATA[2];
IOB tile[0, 0] coord[18,  0] Input0;;
IOB tile[0, 0] coord[18,  0] Input1;;
IOB tile[0, 0] coord[18,  1] Output0;BRAM6_WDATA[5];
IOB tile[0, 0] coord[18,  1] Output1;BRAM6_WDATA[4];
IOB tile[0, 0] coord[18,  1] Input0;;
IOB tile[0, 0] coord[18,  1] Input1;;
IOB tile[0, 0] coord[18, 30] Output0;BRAM2_WDATA[5];
IOB tile[0, 0] coord[18, 30] Output1;BRAM2_WDATA[4];
IOB tile[0, 0] coord[18, 30] Input0;;
IOB tile[0, 0] coord[18, 30] Input1;;
IOB tile[0, 0] coord[18, 31] Output0;BRAM2_WDATA[3];
IOB tile[0, 0] coord[18, 31] Output1;BRAM2_WDATA[2];
IOB tile[0, 0] coord[18, 31] Input0;;
IOB tile[0, 0] coord[18, 31] Input1;;
IOB tile[0, 0] coord[19,  0] Output0;BRAM6_WADDR[8];
IOB tile[0, 0] coord[19,  0] Output1;BRAM6_WADDR[7];
IOB tile[0, 0] coord[19,  0] Input0;;
IOB tile[0, 0] coord[19,  0] Input1;;
IOB tile[0, 0] coord[19,  1] Output0;BRAM6_WDATA[1];
IOB tile[0, 0] coord[19,  1] Output1;BRAM6_WDATA[0];
IOB tile[0, 0] coord[19,  1] Input0;;
IOB tile[0, 0] coord[19,  1] Input1;;
IOB tile[0, 0] coord[19, 30] Output0;BRAM2_WDATA[1];
IOB tile[0, 0] coord[19, 30] Output1;BRAM2_WDATA[0];
IOB tile[0, 0] coord[19, 30] Input0;;
IOB tile[0, 0] coord[19, 30] Input1;;
IOB tile[0, 0] coord[19, 31] Output0;BRAM2_WADDR[8];
IOB tile[0, 0] coord[19, 31] Output1;BRAM2_WADDR[7];
IOB tile[0, 0] coord[19, 31] Input0;;
IOB tile[0, 0] coord[19, 31] Input1;;
IOB tile[0, 0] coord[20,  0] Output0;BRAM6_WADDR[4];
IOB tile[0, 0] coord[20,  0] Output1;BRAM6_WADDR[3];
IOB tile[0, 0] coord[20,  0] Input0;BRAM7_RDATA[7];
IOB tile[0, 0] coord[20,  0] Input1;BRAM7_RDATA[6];
IOB tile[0, 0] coord[20,  1] Output0;BRAM6_WADDR[6];
IOB tile[0, 0] coord[20,  1] Output1;BRAM6_WADDR[5];
IOB tile[0, 0] coord[20,  1] Input0;;
IOB tile[0, 0] coord[20,  1] Input1;;
IOB tile[0, 0] coord[20, 30] Output0;BRAM2_WADDR[6];
IOB tile[0, 0] coord[20, 30] Output1;BRAM2_WADDR[5];
IOB tile[0, 0] coord[20, 30] Input0;;
IOB tile[0, 0] coord[20, 30] Input1;;
IOB tile[0, 0] coord[20, 31] Output0;BRAM2_WADDR[4];
IOB tile[0, 0] coord[20, 31] Output1;BRAM2_WADDR[3];
IOB tile[0, 0] coord[20, 31] Input0;BRAM3_RDATA[7];
IOB tile[0, 0] coord[20, 31] Input1;BRAM3_RDATA[6];
IOB tile[0, 0] coord[21,  0] Output0;BRAM6_WADDR[0];
IOB tile[0, 0] coord[21,  0] Output1;BRAM6_RADDR[8];
IOB tile[0, 0] coord[21,  0] Input0;BRAM7_RDATA[3];
IOB tile[0, 0] coord[21,  0] Input1;BRAM7_RDATA[2];
IOB tile[0, 0] coord[21,  1] Output0;BRAM6_WADDR[2];
IOB tile[0, 0] coord[21,  1] Output1;BRAM6_WADDR[1];
IOB tile[0, 0] coord[21,  1] Input0;BRAM7_RDATA[5];
IOB tile[0, 0] coord[21,  1] Input1;BRAM7_RDATA[4];
IOB tile[0, 0] coord[21, 30] Output0;BRAM2_WADDR[2];
IOB tile[0, 0] coord[21, 30] Output1;BRAM2_WADDR[1];
IOB tile[0, 0] coord[21, 30] Input0;BRAM3_RDATA[5];
IOB tile[0, 0] coord[21, 30] Input1;BRAM3_RDATA[4];
IOB tile[0, 0] coord[21, 31] Output0;BRAM2_WADDR[0];
IOB tile[0, 0] coord[21, 31] Output1;BRAM2_RADDR[8];
IOB tile[0, 0] coord[21, 31] Input0;BRAM3_RDATA[3];
IOB tile[0, 0] coord[21, 31] Input1;BRAM3_RDATA[2];
IOB tile[0, 0] coord[22,  0] Output0;BRAM6_RADDR[5];
IOB tile[0, 0] coord[22,  0] Output1;BRAM6_RADDR[4];
IOB tile[0, 0] coord[22,  0] Input0;;
IOB tile[0, 0] coord[22,  0] Input1;;
IOB tile[0, 0] coord[22,  1] Output0;BRAM6_RADDR[7];
IOB tile[0, 0] coord[22,  1] Output1;BRAM6_RADDR[6];
IOB tile[0, 0] coord[22,  1] Input0;BRAM7_RDATA[1];
IOB tile[0, 0] coord[22,  1] Input1;BRAM7_RDATA[0];
IOB tile[0, 0] coord[22, 30] Output0;BRAM2_RADDR[7];
IOB tile[0, 0] coord[22, 30] Output1;BRAM2_RADDR[6];
IOB tile[0, 0] coord[22, 30] Input0;BRAM3_RDATA[1];
IOB tile[0, 0] coord[22, 30] Input1;BRAM3_RDATA[0];
IOB tile[0, 0] coord[22, 31] Output0;BRAM2_RADDR[5];
IOB tile[0, 0] coord[22, 31] Output1;BRAM2_RADDR[4];
IOB tile[0, 0] coord[22, 31] Input0;;
IOB tile[0, 0] coord[22, 31] Input1;;
IOB tile[0, 0] coord[23,  0] Output0;BRAM6_RADDR[1];
IOB tile[0, 0] coord[23,  0] Output1;BRAM6_RADDR[0];
IOB tile[0, 0] coord[23,  0] Input0;;
IOB tile[0, 0] coord[23,  0] Input1;;
IOB tile[0, 0] coord[23,  1] Output0;BRAM6_RADDR[3];
IOB tile[0, 0] coord[23,  1] Output1;BRAM6_RADDR[2];
IOB tile[0, 0] coord[23,  1] Input0;;
IOB tile[0, 0] coord[23,  1] Input1;;
IOB tile[0, 0] coord[23, 30] Output0;BRAM2_RADDR[3];
IOB tile[0, 0] coord[23, 30] Output1;BRAM2_RADDR[2];
IOB tile[0, 0] coord[23, 30] Input0;;
IOB tile[0, 0] coord[23, 30] Input1;;
IOB tile[0, 0] coord[23, 31] Output0;BRAM2_RADDR[1];
IOB tile[0, 0] coord[23, 31] Output1;BRAM2_RADDR[0];
IOB tile[0, 0] coord[23, 31] Input0;;
IOB tile[0, 0] coord[23, 31] Input1;;
IOB tile[0, 0] coord[24,  0] Output0;BRAM7_nWEN;
IOB tile[0, 0] coord[24,  0] Output1;BRAM7_nWCLKEN;
IOB tile[0, 0] coord[24,  0] Input0;;
IOB tile[0, 0] coord[24,  0] Input1;;
IOB tile[0, 0] coord[24,  1] Output0;;
IOB tile[0, 0] coord[24,  1] Output1;;
IOB tile[0, 0] coord[24,  1] Input0;;
IOB tile[0, 0] coord[24,  1] Input1;;
IOB tile[0, 0] coord[24, 30] Output0;;
IOB tile[0, 0] coord[24, 30] Output1;;
IOB tile[0, 0] coord[24, 30] Input0;;
IOB tile[0, 0] coord[24, 30] Input1;;
IOB tile[0, 0] coord[24, 31] Output0;BRAM3_nWEN;
IOB tile[0, 0] coord[24, 31] Output1;BRAM3_nWCLKEN;
IOB tile[0, 0] coord[24, 31] Input0;;
IOB tile[0, 0] coord[24, 31] Input1;;
IOB tile[0, 0] coord[25,  0] Output0;BRAM7_RATIO[1];
IOB tile[0, 0] coord[25,  0] Output1;BRAM7_RATIO[0];
IOB tile[0, 0] coord[25,  0] Input0;;
IOB tile[0, 0] coord[25,  0] Input1;;
IOB tile[0, 0] coord[25,  1] Output0;BRAM7_nREN;
IOB tile[0, 0] coord[25,  1] Output1;BRAM7_nRCLKEN;
IOB tile[0, 0] coord[25,  1] Input0;;
IOB tile[0, 0] coord[25,  1] Input1;;
IOB tile[0, 0] coord[25, 30] Output0;BRAM3_nREN;
IOB tile[0, 0] coord[25, 30] Output1;BRAM3_nRCLKEN;
IOB tile[0, 0] coord[25, 30] Input0;;
IOB tile[0, 0] coord[25, 30] Input1;;
IOB tile[0, 0] coord[25, 31] Output0;BRAM3_RATIO[1];
IOB tile[0, 0] coord[25, 31] Output1;BRAM3_RATIO[0];
IOB tile[0, 0] coord[25, 31] Input0;;
IOB tile[0, 0] coord[25, 31] Input1;;
IOB tile[0, 0] coord[26,  0] Output0;BRAM7_WDATA[7];
IOB tile[0, 0] coord[26,  0] Output1;BRAM7_WDATA[6];
IOB tile[0, 0] coord[26,  0] Input0;;
IOB tile[0, 0] coord[26,  0] Input1;;
IOB tile[0, 0] coord[26,  1] Output0;BRAM7_WCLKINV;
IOB tile[0, 0] coord[26,  1] Output1;BRAM7_RCLKINV;
IOB tile[0, 0] coord[26,  1] Input0;;
IOB tile[0, 0] coord[26,  1] Input1;;
IOB tile[0, 0] coord[26, 30] Output0;BRAM3_WCLKINV;
IOB tile[0, 0] coord[26, 30] Output1;BRAM3_RCLKINV;
IOB tile[0, 0] coord[26, 30] Input0;;
IOB tile[0, 0] coord[26, 30] Input1;;
IOB tile[0, 0] coord[26, 31] Output0;BRAM3_WDATA[7];
IOB tile[0, 0] coord[26, 31] Output1;BRAM3_WDATA[6];
IOB tile[0, 0] coord[26, 31] Input0;;
IOB tile[0, 0] coord[26, 31] Input1;;
IOB tile[0, 0] coord[27,  0] Output0;BRAM7_WDATA[3];
IOB tile[0, 0] coord[27,  0] Output1;BRAM7_WDATA[2];
IOB tile[0, 0] coord[27,  0] Input0;;
IOB tile[0, 0] coord[27,  0] Input1;;
IOB tile[0, 0] coord[27,  1] Output0;BRAM7_WDATA[5];
IOB tile[0, 0] coord[27,  1] Output1;BRAM7_WDATA[4];
IOB tile[0, 0] coord[27,  1] Input0;;
IOB tile[0, 0] coord[27,  1] Input1;;
IOB tile[0, 0] coord[27, 30] Output0;BRAM3_WDATA[5];
IOB tile[0, 0] coord[27, 30] Output1;BRAM3_WDATA[4];
IOB tile[0, 0] coord[27, 30] Input0;;
IOB tile[0, 0] coord[27, 30] Input1;;
IOB tile[0, 0] coord[27, 31] Output0;BRAM3_WDATA[3];
IOB tile[0, 0] coord[27, 31] Output1;BRAM3_WDATA[2];
IOB tile[0, 0] coord[27, 31] Input0;;
IOB tile[0, 0] coord[27, 31] Input1;;
IOB tile[0, 0] coord[28,  0] Output0;BRAM7_WADDR[8];
IOB tile[0, 0] coord[28,  0] Output1;BRAM7_WADDR[7];
IOB tile[0, 0] coord[28,  0] Input0;;
IOB tile[0, 0] coord[28,  0] Input1;;
IOB tile[0, 0] coord[28,  1] Output0;BRAM7_WDATA[1];
IOB tile[0, 0] coord[28,  1] Output1;BRAM7_WDATA[0];
IOB tile[0, 0] coord[28,  1] Input0;;
IOB tile[0, 0] coord[28,  1] Input1;;
IOB tile[0, 0] coord[28, 30] Output0;BRAM3_WDATA[1];
IOB tile[0, 0] coord[28, 30] Output1;BRAM3_WDATA[0];
IOB tile[0, 0] coord[28, 30] Input0;;
IOB tile[0, 0] coord[28, 30] Input1;;
IOB tile[0, 0] coord[28, 31] Output0;BRAM3_WADDR[8];
IOB tile[0, 0] coord[28, 31] Output1;BRAM3_WADDR[7];
IOB tile[0, 0] coord[28, 31] Input0;;
IOB tile[0, 0] coord[28, 31] Input1;;
IOB tile[0, 0] coord[29,  0] Output0;BRAM7_WADDR[4];
IOB tile[0, 0] coord[29,  0] Output1;BRAM7_WADDR[3];
IOB tile[0, 0] coord[29,  0] Input0;;
IOB tile[0, 0] coord[29,  0] Input1;;
IOB tile[0, 0] coord[29,  1] Output0;BRAM7_WADDR[6];
IOB tile[0, 0] coord[29,  1] Output1;BRAM7_WADDR[5];
IOB tile[0, 0] coord[29,  1] Input0;;
IOB tile[0, 0] coord[29,  1] Input1;;
IOB tile[0, 0] coord[29, 30] Output0;BRAM3_WADDR[6];
IOB tile[0, 0] coord[29, 30] Output1;BRAM3_WADDR[5];
IOB tile[0, 0] coord[29, 30] Input0;;
IOB tile[0, 0] coord[29, 30] Input1;;
IOB tile[0, 0] coord[29, 31] Output0;BRAM3_WADDR[4];
IOB tile[0, 0] coord[29, 31] Output1;BRAM3_WADDR[3];
IOB tile[0, 0] coord[29, 31] Input0;;
IOB tile[0, 0] coord[29, 31] Input1;;
IOB tile[0, 0] coord[30,  0] Output0;BRAM7_WADDR[0];
IOB tile[0, 0] coord[30,  0] Output1;BRAM7_RADDR[8];
IOB tile[0, 0] coord[30,  0] Input0;;
IOB tile[0, 0] coord[30,  0] Input1;;
IOB tile[0, 0] coord[30,  1] Output0;BRAM7_WADDR[2];
IOB tile[0, 0] coord[30,  1] Output1;BRAM7_WADDR[1];
IOB tile[0, 0] coord[30,  1] Input0;;
IOB tile[0, 0] coord[30,  1] Input1;;
IOB tile[0, 0] coord[30, 30] Output0;BRAM3_WADDR[2];
IOB tile[0, 0] coord[30, 30] Output1;BRAM3_WADDR[1];
IOB tile[0, 0] coord[30, 30] Input0;;
IOB tile[0, 0] coord[30, 30] Input1;;
IOB tile[0, 0] coord[30, 31] Output0;BRAM3_WADDR[0];
IOB tile[0, 0] coord[30, 31] Output1;BRAM3_RADDR[8];
IOB tile[0, 0] coord[30, 31] Input0;;
IOB tile[0, 0] coord[30, 31] Input1;;
IOB tile[0, 0] coord[31,  0] Output0;BRAM7_RADDR[5];
IOB tile[0, 0] coord[31,  0] Output1;BRAM7_RADDR[4];
IOB tile[0, 0] coord[31,  0] Input0;;
IOB tile[0, 0] coord[31,  0] Input1;;
IOB tile[0, 0] coord[31,  1] Output0;BRAM7_RADDR[7];
IOB tile[0, 0] coord[31,  1] Output1;BRAM7_RADDR[6];
IOB tile[0, 0] coord[31,  1] Input0;;
IOB tile[0, 0] coord[31,  1] Input1;;
IOB tile[0, 0] coord[31,  2] Output0;BRAM7_RADDR[3];
IOB tile[0, 0] coord[31,  2] Output1;BRAM7_RADDR[2];
IOB tile[0, 0] coord[31,  2] Input0;;
IOB tile[0, 0] coord[31,  2] Input1;;
IOB tile[0, 0] coord[31,  3] Output0;BRAM7_RADDR[1];
IOB tile[0, 0] coord[31,  3] Output1;BRAM7_RADDR[0];
IOB tile[0, 0] coord[31,  3] Input0;;
IOB tile[0, 0] coord[31,  3] Input1;;
IOB tile[0, 0] coord[31,  4] Output0;[PIN  9] GPIO18_OUT;testbus[2]
IOB tile[0, 0] coord[31,  4] Output1;[PIN  9] GPIO18_OE;testbus_oe[2]
IOB tile[0, 0] coord[31,  4] Input0;[PIN  9] GPIO18_IN;
IOB tile[0, 0] coord[31,  4] Input1;;
IOB tile[0, 0] coord[31,  5] Output0;[PIN  8] GPIO17_OUT;testbus[1]
IOB tile[0, 0] coord[31,  5] Output1;[PIN  8] GPIO17_OE;testbus_oe[1]
IOB tile[0, 0] coord[31,  5] Input0;[PIN  8] GPIO17_IN;
IOB tile[0, 0] coord[31,  5] Input1;;
IOB tile[0, 0] coord[31,  6] Output0;[PIN  7] GPIO16_OUT;testbus[0]
IOB tile[0, 0] coord[31,  6] Output1;[PIN  7] GPIO16_OE;testbus_oe[0]
IOB tile[0, 0] coord[31,  6] Input0;[PIN  7] GPIO16_IN;
IOB tile[0, 0] coord[31,  6] Input1;;
IOB tile[0, 0] coord[31,  7] Output0;;
IOB tile[0, 0] coord[31,  7] Output1;;
IOB tile[0, 0] coord[31,  7] Input0;;
IOB tile[0, 0] coord[31,  7] Input1;;
IOB tile[0, 0] coord[31,  8] Output0;[PIN  6] GPIO15_OUT;o_col[1]
IOB tile[0, 0] coord[31,  8] Output1;[PIN  6] GPIO15_OE;o_col_oe[1]
IOB tile[0, 0] coord[31,  8] Input0;[PIN  6] GPIO15_IN;
IOB tile[0, 0] coord[31,  8] Input1;;
IOB tile[0, 0] coord[31,  9] Output0;[PIN  5] GPIO14_OUT;o_col[3]
IOB tile[0, 0] coord[31,  9] Output1;[PIN  5] GPIO14_OE;o_col_oe[3]
IOB tile[0, 0] coord[31,  9] Input0;[PIN  5] GPIO14_IN;
IOB tile[0, 0] coord[31,  9] Input1;;
IOB tile[0, 0] coord[31, 10] Output0;INT_FPGA_RESET;
IOB tile[0, 0] coord[31, 10] Output1;;
IOB tile[0, 0] coord[31, 10] Input0;[PIN 11] nRST;i_nreset
IOB tile[0, 0] coord[31, 10] Input1;[PIN 10] nSLEEP;
IOB tile[0, 0] coord[31, 11] Output0;REF_LOGIC_AS_CLK0;scan_clk_out
IOB tile[0, 0] coord[31, 11] Output1;REF_LOGIC_AS_CLK1;
IOB tile[0, 0] coord[31, 11] Input0;FPGA_CORE_READY;
IOB tile[0, 0] coord[31, 11] Input1;FUNC_MODE;
IOB tile[0, 0] coord[31, 12] Output0;LOGIC_AS_CLK0_EN;scan_clk_oe
IOB tile[0, 0] coord[31, 12] Output1;LOGIC_AS_CLK1_EN;
IOB tile[0, 0] coord[31, 12] Input0;;
IOB tile[0, 0] coord[31, 12] Input1;;
IOB tile[0, 0] coord[31, 13] Output0;;
IOB tile[0, 0] coord[31, 13] Output1;;
IOB tile[0, 0] coord[31, 13] Input0;;
IOB tile[0, 0] coord[31, 13] Input1;;
IOB tile[0, 0] coord[31, 14] Output0;;
IOB tile[0, 0] coord[31, 14] Output1;;
IOB tile[0, 0] coord[31, 14] Input0;;
IOB tile[0, 0] coord[31, 14] Input1;;
IOB tile[0, 0] coord[31, 15] Output0;;
IOB tile[0, 0] coord[31, 15] Output1;;
IOB tile[0, 0] coord[31, 15] Input0;;
IOB tile[0, 0] coord[31, 15] Input1;;
IOB tile[0, 0] coord[31, 16] Output0;;
IOB tile[0, 0] coord[31, 16] Output1;;
IOB tile[0, 0] coord[31, 16] Input0;;
IOB tile[0, 0] coord[31, 16] Input1;;
IOB tile[0, 0] coord[31, 17] Output0;;
IOB tile[0, 0] coord[31, 17] Output1;;
IOB tile[0, 0] coord[31, 17] Input0;;
IOB tile[0, 0] coord[31, 17] Input1;;
IOB tile[0, 0] coord[31, 18] Output0;;
IOB tile[0, 0] coord[31, 18] Output1;;
IOB tile[0, 0] coord[31, 18] Input0;;
IOB tile[0, 0] coord[31, 18] Input1;;
IOB tile[0, 0] coord[31, 19] Output0;PLL_REFDIV[0];
IOB tile[0, 0] coord[31, 19] Output1;PLL_REFDIV[1];
IOB tile[0, 0] coord[31, 19] Input0;;
IOB tile[0, 0] coord[31, 19] Input1;;
IOB tile[0, 0] coord[31, 20] Output0;PLL_REFDIV[2];
IOB tile[0, 0] coord[31, 20] Output1;PLL_REFDIV[3];
IOB tile[0, 0] coord[31, 20] Input0;;
IOB tile[0, 0] coord[31, 20] Input1;;
IOB tile[0, 0] coord[31, 21] Output0;PLL_REFDIV[4];
IOB tile[0, 0] coord[31, 21] Output1;PLL_REFDIV[5];
IOB tile[0, 0] coord[31, 21] Input0;;
IOB tile[0, 0] coord[31, 21] Input1;;
IOB tile[0, 0] coord[31, 22] Output0;[PIN  4] GPIO13_OUT;o_col[5]
IOB tile[0, 0] coord[31, 22] Output1;[PIN  4] GPIO13_OE;o_col_oe[5]
IOB tile[0, 0] coord[31, 22] Input0;[PIN  4] GPIO13_IN;
IOB tile[0, 0] coord[31, 22] Input1;;
IOB tile[0, 0] coord[31, 23] Output0;[PIN  3] GPIO12_OUT;o_col[7]
IOB tile[0, 0] coord[31, 23] Output1;[PIN  3] GPIO12_OE;o_col_oe[7]
IOB tile[0, 0] coord[31, 23] Input0;[PIN  3] GPIO12_IN;
IOB tile[0, 0] coord[31, 23] Input1;;
IOB tile[0, 0] coord[31, 24] Output0;[PIN  2] GPIO11_OUT;o_col[0]
IOB tile[0, 0] coord[31, 24] Output1;[PIN  2] GPIO11_OE;o_col_oe[0]
IOB tile[0, 0] coord[31, 24] Input0;[PIN  2] GPIO11_IN;
IOB tile[0, 0] coord[31, 24] Input1;;
IOB tile[0, 0] coord[31, 25] Output0;[PIN  1] GPIO10_OUT;o_col[2]
IOB tile[0, 0] coord[31, 25] Output1;[PIN  1] GPIO10_OE;o_col_oe[2]
IOB tile[0, 0] coord[31, 25] Input0;[PIN  1] GPIO10_IN;
IOB tile[0, 0] coord[31, 25] Input1;;
IOB tile[0, 0] coord[31, 26] Output0;[PIN 24] GPIO9_OUT;o_col[4]
IOB tile[0, 0] coord[31, 26] Output1;[PIN 24] GPIO9_OE;o_col_oe[4]
IOB tile[0, 0] coord[31, 26] Input0;[PIN 24] GPIO9_IN;
IOB tile[0, 0] coord[31, 26] Input1;;
IOB tile[0, 0] coord[31, 27] Output0;[PIN 23] GPIO8_OUT;o_col[6]
IOB tile[0, 0] coord[31, 27] Output1;[PIN 23] GPIO8_OE;o_col_oe[6]
IOB tile[0, 0] coord[31, 27] Input0;[PIN 23] GPIO8_IN;
IOB tile[0, 0] coord[31, 27] Input1;;
IOB tile[0, 0] coord[31, 28] Output0;BRAM3_RADDR[1];
IOB tile[0, 0] coord[31, 28] Output1;BRAM3_RADDR[0];
IOB tile[0, 0] coord[31, 28] Input0;;
IOB tile[0, 0] coord[31, 28] Input1;;
IOB tile[0, 0] coord[31, 29] Output0;BRAM3_RADDR[3];
IOB tile[0, 0] coord[31, 29] Output1;BRAM3_RADDR[2];
IOB tile[0, 0] coord[31, 29] Input0;;
IOB tile[0, 0] coord[31, 29] Input1;;
IOB tile[0, 0] coord[31, 30] Output0;BRAM3_RADDR[7];
IOB tile[0, 0] coord[31, 30] Output1;BRAM3_RADDR[6];
IOB tile[0, 0] coord[31, 30] Input0;;
IOB tile[0, 0] coord[31, 30] Input1;;
IOB tile[0, 0] coord[31, 31] Output0;BRAM3_RADDR[5];
IOB tile[0, 0] coord[31, 31] Output1;BRAM3_RADDR[4];
IOB tile[0, 0] coord[31, 31] Input0;;
IOB tile[0, 0] coord[31, 31] Input1;;
